site,year,id,species,basal.area.cm2,x,y,notes
McGilvra Woods,2019,2269,Acer saccharum,516.9639031,92.6,10,
McGilvra Woods,2019,2270,Acer saccharum,789.4212501,96,9.9,
McGilvra Woods,2019,2271,Acer saccharum,232.047907,98.5,18.5,
McGilvra Woods,2019,2272,Ulmus americana,1717.250801,97.9,25,
McGilvra Woods,2019,2273,Acer saccharum,36.44329887,100,4,
McGilvra Woods,2019,2274,Acer saccharum,14.50299419,95.7,6.2,
McGilvra Woods,2019,2275,Acer saccharum,20.88431163,89,5.9,
McGilvra Woods,2019,2276,Quercus rubra,4812.675183,88.7,0,2 stems
McGilvra Woods,2019,2277,Acer saccharum,172.0663879,85.8,1.7,
McGilvra Woods,2019,2278,Acer saccharum,89.83978228,83,2.1,
McGilvra Woods,2019,2279,Prunus serotina,531.170869,82.2,1.1,
McGilvra Woods,2019,2280,Acer saccharum,0.866598665,93.1,27.8,
McGilvra Woods,2019,2281,Prunus serotina,532.4719607,78.4,0,
McGilvra Woods,2019,2282,Acer saccharum,211.0593489,75.9,2.6,
McGilvra Woods,2019,2283,Acer saccharum,513.1226985,70.4,4.5,
McGilvra Woods,2019,2284,Acer saccharum,22.72812165,69.8,8.9,
McGilvra Woods,2019,2285,Acer saccharum,131.172321,67.6,2.8,
McGilvra Woods,2019,2286,Acer saccharum,617.6492989,66.3,2.6,
McGilvra Woods,2019,2287,Acer saccharum,55.88327939,62.6,3.9,
McGilvra Woods,2019,2288,Tilia americana,4263.429883,52.75,5.4,"2 stems, other dBm 217.2cm"
McGilvra Woods,2019,2289,Acer saccharum,536.384785,55.2,7.3,
McGilvra Woods,2019,2290,Acer saccharum,523.3977416,57.6,13.9,
McGilvra Woods,2019,2291,Acer saccharum,1019.724819,60.7,11.4,
McGilvra Woods,2019,2292,Acer saccharum,404.5471963,59.6,8.6,
McGilvra Woods,2019,2293,Acer saccharum,931.632558,65,13.5,
McGilvra Woods,2019,2294,Acer saccharum,914.4915706,68.5,15.4,
